time,bestBidPrice,bestAskPrice,bestBidVolume,bestAskVolume
1329.000000,9.25,9.26,240400.000000,6800.000000
1330.000000,9.25,9.26,240400.000000,6800.000000
1331.000000,9.26,9.27,93200.000000,346260.000000
1332.000000,9.26,9.27,90300.000000,346260.000000
1333.000000,9.26,9.27,90200.000000,349560.000000
1334.000000,9.26,9.27,90200.000000,349560.000000
1335.000000,9.26,9.27,90200.000000,368460.000000
1336.000000,9.26,9.27,91100.000000,368460.000000
1337.000000,9.26,9.27,81100.000000,368460.000000
1338.000000,9.26,9.27,82100.000000,368460.000000
1339.000000,9.26,9.27,82100.000000,368660.000000
1340.000000,9.26,9.27,88700.000000,355160.000000
1341.000000,9.26,9.27,88700.000000,355160.000000
1342.000000,9.26,9.27,94400.000000,358360.000000
1343.000000,9.26,9.27,94400.000000,358060.000000
1344.000000,9.26,9.27,94400.000000,354460.000000
1345.000000,9.26,9.27,94800.000000,362460.000000
1346.000000,9.26,9.27,94800.000000,357960.000000
1347.000000,9.26,9.27,95600.000000,363360.000000
1348.000000,9.26,9.27,95400.000000,351160.000000
1349.000000,9.26,9.27,122000.000000,330260.000000
1350.000000,9.26,9.27,119400.000000,326760.000000
1351.000000,9.26,9.27,140200.000000,326760.000000
1352.000000,9.26,9.27,140200.000000,328760.000000
1353.000000,9.26,9.27,140700.000000,328160.000000
1354.000000,9.26,9.27,91800.000000,323060.000000
1355.000000,9.26,9.27,91800.000000,324860.000000
1356.000000,9.26,9.27,91800.000000,324860.000000
1357.000000,9.26,9.27,90100.000000,326560.000000
1358.000000,9.26,9.27,114700.000000,296860.000000
1359.000000,9.26,9.27,114700.000000,297160.000000
1360.000000,9.26,9.27,114700.000000,295860.000000
1361.000000,9.26,9.27,114700.000000,295460.000000
1362.000000,9.26,9.27,114700.000000,318760.000000
1363.000000,9.26,9.27,99300.000000,318760.000000
1364.000000,9.26,9.27,109300.000000,318760.000000
1365.000000,9.26,9.27,109300.000000,318760.000000
1366.000000,9.26,9.27,104300.000000,346160.000000
1367.000000,9.26,9.27,104300.000000,336060.000000
1368.000000,9.26,9.27,104300.000000,335960.000000
1369.000000,9.26,9.27,105800.000000,335960.000000
1370.000000,9.26,9.27,105800.000000,301960.000000
1371.000000,9.26,9.27,105300.000000,300960.000000
1372.000000,9.26,9.27,107300.000000,302060.000000
1373.000000,9.26,9.27,221000.000000,274160.000000
1374.000000,9.26,9.27,231000.000000,274160.000000
1375.000000,9.26,9.27,236600.000000,274160.000000
1376.000000,9.26,9.27,246600.000000,273760.000000
1377.000000,9.26,9.27,246600.000000,275660.000000
1378.000000,9.26,9.27,248200.000000,274760.000000
1379.000000,9.26,9.27,248200.000000,272660.000000
1380.000000,9.26,9.27,258100.000000,272660.000000
1381.000000,9.26,9.27,258500.000000,323560.000000
1382.000000,9.26,9.27,258500.000000,332960.000000
1383.000000,9.26,9.27,259500.000000,332960.000000
1384.000000,9.26,9.27,260000.000000,326060.000000
1385.000000,9.26,9.27,269900.000000,326060.000000
1386.000000,9.26,9.27,324400.000000,325760.000000
1387.000000,9.26,9.27,325400.000000,214660.000000
1388.000000,9.26,9.27,325400.000000,201960.000000
1389.000000,9.26,9.27,325400.000000,201660.000000
1390.000000,9.26,9.27,337100.000000,201060.000000
1391.000000,9.26,9.27,336900.000000,100560.000000
